season,team,is_format_playoffs_next,country_next,is_mega_auction_next,num_teams_next,last_qual_years,is_captain_overseas_next,final_position,matches,position,wins,losses,nr,points,nrr,nrr_rank,longest_winning_streak,longest_losing_streak,position_2nd_half,wins_2nd_half,losses_2nd_half,nr_2nd_half,points_2nd_half,nrr_2nd_half,nrr_rank_2nd_half,longest_winning_streak_2nd_half,longest_losing_streak_2nd_half,final_position_next,in_next_playoffs,is_next_champion
2008,Rajasthan Royals,0,South Africa,0,8,1,1,1,14,1,11,3,0,22,0.632,1,6,1,1,6,1,0,12,0.835,2,6,1,6,0,0
2008,Chennai Super Kings,0,South Africa,0,8,1,0,2,14,3,8,6,0,16,-0.192,6,4,3,4,4,3,0,8,-0.394,5,2,2,4,1,0
2008,Punjab Kings,0,South Africa,0,8,1,0,3,14,2,10,4,0,20,0.509,3,5,2,2,5,2,0,10,0.591,3,4,1,5,0,0
2008,Delhi Capitals,0,South Africa,0,8,1,0,4,14,4,7,6,1,15,0.342,4,2,4,5,3,3,1,7,-0.044,4,2,2,3,1,0
2008,Mumbai Indians,0,South Africa,0,8,2,0,5,14,5,7,7,0,14,0.57,2,6,4,3,4,3,0,8,1.666,1,3,3,7,0,0
2008,Kolkata Knight Riders,0,South Africa,0,8,2,1,6,14,6,6,7,1,13,-0.147,5,3,4,6,3,3,1,7,-0.974,8,2,3,8,0,0
2008,Royal Challengers Bangalore,0,South Africa,0,8,2,1,7,14,7,4,10,0,8,-1.16,8,2,5,7,2,5,0,4,-0.874,6,2,4,2,1,0
2008,Deccan Chargers,0,South Africa,0,8,2,1,8,14,8,2,12,0,4,-0.467,7,1,7,8,0,7,0,0,-0.907,7,0,7,1,1,1
2009,Deccan Chargers,0,India,0,8,1,1,1,14,4,7,7,0,14,0.203,4,4,3,4,3,4,0,6,0.363,3,1,2,4,1,0
2009,Royal Challengers Bangalore,0,India,0,8,1,0,2,14,3,8,6,0,16,-0.191,5,4,4,3,5,2,0,10,-0.049,5,4,2,3,1,0
2009,Delhi Capitals,0,India,0,8,1,0,3,14,1,10,4,0,20,0.311,2,4,1,2,5,2,0,10,0.445,2,3,1,5,0,0
2009,Chennai Super Kings,0,India,0,8,1,0,4,14,2,8,5,1,17,0.951,1,5,2,1,5,2,0,10,0.677,1,3,1,1,1,1
2009,Punjab Kings,0,India,0,8,2,1,5,14,5,7,7,0,14,-0.483,7,3,2,6,3,4,0,6,-0.971,7,2,2,8,0,0
2009,Rajasthan Royals,0,India,0,8,2,1,6,14,6,6,7,1,13,-0.352,6,3,2,5,3,4,0,6,0.239,4,2,2,7,0,0
2009,Mumbai Indians,0,India,0,8,3,0,7,14,7,5,8,1,11,0.297,3,2,3,8,2,5,0,4,-1.13,8,2,3,2,1,0
2009,Kolkata Knight Riders,0,India,0,8,3,0,8,14,8,3,10,1,7,-0.789,8,2,9,7,2,5,0,4,-0.319,6,2,5,6,0,0
2010,Chennai Super Kings,1,India,1,10,1,0,1,14,3,7,7,0,14,0.274,2,3,4,1,5,2,0,10,0.746,2,3,1,1,1,1
2010,Mumbai Indians,1,India,1,10,1,0,2,14,1,10,4,0,20,1.084,1,5,2,3,4,3,0,8,1.022,1,3,2,3,1,0
2010,Royal Challengers Bangalore,1,India,1,10,1,1,3,14,4,7,7,0,14,0.219,3,4,2,7,3,4,0,6,-0.301,7,1,2,2,1,0
2010,Deccan Chargers,1,India,1,10,1,1,4,14,2,8,6,0,16,-0.297,5,5,5,2,5,2,0,10,-0.113,5,5,2,7,0,0
2010,Delhi Capitals,1,India,1,10,2,0,5,14,5,7,7,0,14,0.021,4,4,3,5,3,4,0,6,0.288,3,2,3,10,0,0
2010,Kolkata Knight Riders,1,India,1,10,4,0,6,14,6,7,7,0,14,-0.341,6,2,3,4,4,3,0,8,-0.065,4,2,2,4,1,0
2010,Rajasthan Royals,1,India,1,10,3,1,7,14,7,6,8,0,12,-0.514,8,4,3,8,2,5,0,4,-1.129,8,2,3,6,0,0
2010,Punjab Kings,1,India,1,10,3,1,8,14,8,4,10,0,8,-0.478,7,2,4,6,3,4,0,6,-0.253,6,2,2,5,0,0
2011,Chennai Super Kings,1,India,0,9,1,0,1,14,2,9,5,0,18,0.443,1,4,2,2,5,2,0,10,0.756,2,3,1,2,1,0
2011,Royal Challengers Bangalore,1,India,0,9,1,1,2,14,1,9,4,1,19,0.326,3,7,3,1,6,1,0,12,0.882,1,5,1,5,0,0
2011,Mumbai Indians,1,India,0,9,1,0,3,14,3,9,5,0,18,0.04,5,3,3,5,4,3,0,8,-0.434,8,3,3,4,1,0
2011,Kolkata Knight Riders,1,India,0,9,1,0,4,14,4,8,6,0,16,0.433,2,3,2,3,4,3,0,8,0.405,3,2,1,1,1,1
2011,Punjab Kings,1,India,0,9,4,1,5,14,5,7,7,0,14,-0.051,6,4,5,4,4,3,0,8,0.275,5,4,2,6,0,0
2011,Rajasthan Royals,1,India,0,9,4,0,6,14,6,6,7,1,13,-0.691,10,3,4,8,3,4,0,6,-0.989,10,2,4,7,0,0
2011,Deccan Chargers,1,India,0,9,2,1,7,14,7,6,8,0,12,0.222,4,3,4,7,3,4,0,6,0.252,6,3,4,8,0,0
2011,Pune Warriors India,1,India,0,9,5,0,9,14,9,4,9,1,9,-0.134,7,2,7,9,2,4,1,5,-0.199,7,2,2,9,0,0
2011,Delhi Capitals,1,India,0,9,3,0,10,14,10,4,9,1,9,-0.448,9,1,3,10,2,4,1,5,-0.6,9,1,3,3,1,0
2012,Kolkata Knight Riders,1,India,0,9,1,0,1,16,2,10,5,1,21,0.561,2,6,2,1,6,2,0,12,0.662,1,4,2,7,0,0
2012,Chennai Super Kings,1,India,0,9,1,0,2,16,4,8,7,1,17,0.1,4,3,2,5,4,4,0,8,0.14,4,3,2,2,1,0
2012,Delhi Capitals,1,India,0,9,1,1,3,16,1,11,5,0,22,0.617,1,4,1,3,5,3,0,10,0.218,3,2,1,9,0,0
2012,Mumbai Indians,1,India,0,9,1,1,4,16,3,10,6,0,20,-0.1,6,3,2,2,6,2,0,12,0.102,6,3,1,1,1,1
2012,Royal Challengers Bangalore,1,India,0,9,2,0,5,16,5,8,7,1,17,-0.022,5,3,3,6,4,4,0,8,0.127,5,3,2,5,0,0
2012,Punjab Kings,1,India,0,9,5,1,6,16,6,8,8,0,16,-0.216,7,2,2,4,5,3,0,10,0.005,7,2,1,6,0,0
2012,Rajasthan Royals,1,India,0,9,5,0,7,16,7,7,9,0,14,0.201,3,2,4,7,3,5,0,6,0.23,2,2,2,3,1,0
2012,Pune Warriors India,1,India,0,9,6,1,9,16,9,4,12,0,8,-0.551,9,2,9,9,0,8,0,0,-1.144,9,0,8,8,0,0
2013,Mumbai Indians,1,UAE/India,1,8,1,0,1,16,2,11,5,0,22,0.441,3,5,2,1,6,2,0,12,0.629,1,5,1,4,1,0
2013,Chennai Super Kings,1,UAE/India,1,8,1,0,2,16,1,11,5,0,22,0.53,1,7,1,2,5,3,0,10,0.449,2,3,1,3,1,0
2013,Rajasthan Royals,1,UAE/India,1,8,1,1,3,16,3,10,6,0,20,0.322,4,4,2,4,5,3,0,10,0.016,5,4,2,5,0,0
2013,Sunrisers Hyderabad,1,UAE/India,1,8,1,1,4,16,4,10,6,0,20,0.003,6,2,2,3,5,3,0,10,0.131,4,2,1,6,0,0
2013,Royal Challengers Bangalore,1,UAE/India,1,8,3,0,5,16,5,9,7,0,18,0.457,2,3,2,7,3,5,0,6,-0.431,7,1,2,7,0,0
2013,Punjab Kings,1,UAE/India,1,8,6,1,6,16,6,8,8,0,16,0.226,5,3,3,5,4,4,0,8,0.227,3,3,2,2,1,0
2013,Kolkata Knight Riders,1,UAE/India,1,8,2,0,7,16,7,6,10,0,12,-0.095,7,2,3,6,3,5,0,6,-0.262,6,2,2,1,1,1
2013,Delhi Capitals,1,UAE/India,1,8,2,1,9,16,9,3,13,0,6,-0.848,8,2,6,9,2,6,0,4,-0.744,9,2,6,8,0,0
2014,Kolkata Knight Riders,1,India,0,8,1,0,1,14,2,9,5,0,18,0.418,2,7,4,1,7,0,0,14,1.098,1,7,0,5,0,0
2014,Punjab Kings,1,India,0,8,1,1,2,14,1,11,3,0,22,0.968,1,5,1,3,5,2,0,10,0.716,3,2,1,8,0,0
2014,Chennai Super Kings,1,India,0,8,1,0,3,14,3,9,5,0,18,0.385,3,6,3,4,3,4,0,6,-0.28,4,2,3,2,1,0
2014,Mumbai Indians,1,India,0,8,1,0,4,14,4,7,7,0,14,0.095,4,4,5,2,5,2,0,10,0.718,2,4,1,1,1,1
2014,Rajasthan Royals,1,India,0,8,2,1,5,14,5,7,7,0,14,0.06,5,4,3,6,2,5,0,4,-0.403,5,1,3,4,1,0
2014,Sunrisers Hyderabad,1,India,0,8,2,1,6,14,6,6,8,0,12,-0.399,6,2,3,5,3,4,0,6,-0.599,7,2,3,6,0,0
2014,Royal Challengers Bangalore,1,India,0,8,4,0,7,14,7,5,9,0,10,-0.428,7,2,3,7,2,5,0,4,-0.591,6,2,3,3,1,0
2014,Delhi Capitals,1,India,0,8,3,1,8,14,8,2,12,0,4,-1.182,8,1,9,8,0,7,0,0,-1.446,8,0,7,7,0,0
2015,Mumbai Indians,1,India,0,8,1,0,1,14,2,8,6,0,16,-0.043,5,5,4,1,6,1,0,12,0.455,2,4,1,5,0,0
2015,Royal Challengers Bangalore,1,India,0,8,1,0,3,14,3,7,5,2,16,1.037,1,3,3,2,4,2,1,9,1.664,1,2,1,2,1,0
2015,Kolkata Knight Riders,1,India,0,8,2,0,5,14,5,7,6,1,15,0.253,3,3,2,3,4,3,0,8,0.27,4,3,2,4,1,0
2015,Sunrisers Hyderabad,1,India,0,8,3,1,6,14,6,7,7,0,14,-0.239,7,3,2,4,4,3,0,8,-0.439,7,3,2,1,1,1
2015,Delhi Capitals,1,India,0,8,4,0,7,14,7,5,8,1,11,-0.049,6,2,4,7,2,4,1,5,0.333,3,1,4,6,0,0
2015,Punjab Kings,1,India,0,8,2,1,8,14,8,3,11,0,6,-1.436,8,1,7,8,1,6,0,2,-1.823,8,1,5,8,0,0
2016,Sunrisers Hyderabad,1,India,0,8,1,1,1,14,3,8,6,0,16,0.245,2,4,2,2,4,3,0,8,0.435,2,3,2,4,1,0
2016,Royal Challengers Bangalore,1,India,0,8,1,0,2,14,2,8,6,0,16,0.932,1,4,3,1,6,1,0,12,1.931,1,4,1,8,0,0
2016,Gujarat Lions,1,India,0,8,1,0,3,14,1,9,5,0,18,-0.374,7,3,3,6,3,4,0,6,-0.81,7,2,3,7,0,0
2016,Kolkata Knight Riders,1,India,0,8,1,0,4,14,4,8,6,0,16,0.106,3,3,2,4,4,3,0,8,-0.155,4,2,2,3,1,0
2016,Mumbai Indians,1,India,0,8,2,0,5,14,5,7,7,0,14,-0.146,5,3,2,3,4,3,0,8,-0.027,3,2,1,1,1,1
2016,Delhi Capitals,1,India,0,8,5,0,6,14,6,7,7,0,14,-0.155,6,3,2,8,2,5,0,4,-0.875,8,1,2,6,0,0
2016,Rising Pune Supergiant,1,India,0,8,9,1,7,14,7,5,9,0,10,0.015,4,2,4,5,3,4,0,6,-0.252,5,2,3,2,1,0
2016,Punjab Kings,1,India,0,8,3,1,8,14,8,4,10,0,8,-0.646,8,1,3,7,2,5,0,4,-0.429,6,1,3,5,0,0
2017,Mumbai Indians,1,India,1,8,1,0,1,14,1,10,4,0,20,0.784,1,6,2,3,4,3,0,8,0.961,2,3,2,5,0,0
2017,Kolkata Knight Riders,1,India,1,8,1,0,3,14,4,8,6,0,16,0.641,2,3,2,6,3,4,0,6,0.106,5,2,2,3,1,0
2017,Sunrisers Hyderabad,1,India,1,8,1,1,4,14,3,8,5,1,17,0.599,3,2,2,2,4,2,1,9,0.736,3,2,2,2,1,0
2017,Punjab Kings,1,India,1,8,4,0,5,14,5,7,7,0,14,-0.009,5,2,4,4,4,3,0,8,0.291,4,2,1,7,0,0
2017,Delhi Capitals,1,India,1,8,6,0,6,14,6,6,8,0,12,-0.512,7,2,5,5,4,3,0,8,-1.593,8,2,1,8,0,0
2017,Royal Challengers Bangalore,1,India,1,8,2,0,8,14,8,3,10,1,7,-1.299,8,1,6,8,1,5,1,3,-1.399,7,1,5,6,0,0
2018,Chennai Super Kings,1,India,0,8,1,0,1,14,2,9,5,0,18,0.253,3,3,1,6,4,3,0,8,-0.041,6,1,1,2,1,0
2018,Sunrisers Hyderabad,1,India,0,8,1,1,2,14,1,9,5,0,18,0.284,2,6,3,5,4,3,0,8,0.036,4,4,3,4,1,0
2018,Kolkata Knight Riders,1,India,0,8,1,0,3,14,3,8,6,0,16,-0.07,5,3,2,1,5,2,0,10,-0.194,7,3,2,5,0,0
2018,Rajasthan Royals,1,India,0,8,1,0,4,14,4,7,7,0,14,-0.25,7,3,3,4,4,3,0,8,0.226,3,3,2,7,0,0
2018,Mumbai Indians,1,India,0,8,2,0,5,14,5,6,8,0,12,0.317,1,3,3,3,4,3,0,8,0.602,2,3,1,1,1,1
2018,Royal Challengers Bangalore,1,India,0,8,3,0,6,14,6,6,8,0,12,0.129,4,3,2,2,4,3,0,8,0.673,1,3,2,8,0,0
2018,Punjab Kings,1,India,0,8,5,0,7,14,7,6,8,0,12,-0.502,8,4,5,8,1,6,0,2,-1.241,8,1,5,6,0,0
2018,Delhi Capitals,1,India,0,8,7,0,8,14,8,5,9,0,10,-0.222,6,2,3,7,3,4,0,6,0.027,5,2,3,3,1,0
2019,Mumbai Indians,1,UAE,0,8,1,0,1,14,1,9,5,0,18,0.421,2,3,1,1,5,2,0,10,0.625,1,2,1,1,1,1
2019,Chennai Super Kings,1,UAE,0,8,1,0,2,14,2,9,5,0,18,0.131,3,4,2,6,3,4,0,6,-0.07,4,1,2,7,0,0
2019,Delhi Capitals,1,UAE,0,8,1,0,3,14,3,9,5,0,18,0.044,4,3,2,2,5,2,0,10,-0.118,5,3,1,2,1,0
2019,Sunrisers Hyderabad,1,UAE,0,8,1,1,4,14,4,6,8,0,12,0.577,1,3,3,5,3,4,0,6,0.487,2,2,2,3,1,0
2019,Kolkata Knight Riders,1,UAE,0,8,2,0,5,14,5,6,8,0,12,0.028,5,2,6,7,2,5,0,4,-0.391,7,2,4,5,0,0
2019,Punjab Kings,1,UAE,0,8,6,0,6,14,6,6,8,0,12,-0.251,6,2,4,8,2,5,0,4,-0.452,8,1,4,6,0,0
2019,Rajasthan Royals,1,UAE,0,8,2,1,7,14,7,5,8,1,11,-0.449,7,2,3,4,3,3,1,7,-0.294,6,2,1,8,0,0
2019,Royal Challengers Bangalore,1,UAE,0,8,4,0,8,14,8,5,8,1,11,-0.607,8,3,6,3,4,2,1,9,0.092,3,3,1,4,1,0
2020,Mumbai Indians,1,India/UAE,0,8,1,0,1,14,1,9,5,0,18,1.107,1,5,1,3,4,3,0,8,0.842,2,2,1,5,0,0
2020,Delhi Capitals,1,India/UAE,0,8,1,0,2,14,2,8,6,0,16,-0.109,3,3,4,7,3,4,0,6,-1.284,8,2,4,3,1,0
2020,Sunrisers Hyderabad,1,India/UAE,0,8,1,1,3,14,3,7,7,0,14,0.608,2,3,3,2,4,3,0,8,1.056,1,3,2,8,0,0
2020,Royal Challengers Bangalore,1,India/UAE,0,8,1,0,4,14,4,7,7,0,14,-0.172,5,2,4,8,2,5,0,4,-0.225,5,2,4,4,1,0
2020,Kolkata Knight Riders,1,India/UAE,0,8,3,1,5,14,5,7,7,0,14,-0.214,6,2,2,5,3,4,0,6,0.192,3,1,2,2,1,0
2020,Punjab Kings,1,India/UAE,0,8,7,0,6,14,6,6,8,0,12,-0.162,4,5,5,1,5,2,0,10,0.056,4,5,2,6,0,0
2020,Chennai Super Kings,1,India/UAE,0,8,2,0,7,14,7,6,8,0,12,-0.455,7,3,3,4,4,3,0,8,-0.291,7,3,3,1,1,1
2020,Rajasthan Royals,1,India/UAE,0,8,3,0,8,14,8,6,8,0,12,-0.569,8,2,4,6,3,4,0,6,-0.263,6,2,2,7,0,0
2021,Chennai Super Kings,1,India,1,10,1,0,1,14,2,9,5,0,18,0.455,3,5,3,4,4,3,0,8,-0.325,6,4,3,,,
2021,Kolkata Knight Riders,1,India,1,10,1,0,2,14,4,7,7,0,14,0.587,1,2,4,1,5,2,0,10,1.64,1,2,1,,,
2021,Delhi Capitals,1,India,1,10,1,0,3,14,1,10,4,0,20,0.481,2,4,1,2,5,2,0,10,0.509,2,3,1,,,
2021,Royal Challengers Bangalore,1,India,1,10,1,1,4,14,3,9,5,0,18,-0.14,6,4,3,3,4,3,0,8,-0.068,5,3,2,,,
2021,Mumbai Indians,1,India,1,10,2,0,5,14,5,7,7,0,14,0.116,4,2,3,6,3,4,0,6,0.162,4,2,3,,,
2021,Punjab Kings,1,India,1,10,8,0,6,14,6,6,8,0,12,-0.001,5,1,3,5,3,4,0,6,0.262,3,1,2,,,
2021,Rajasthan Royals,1,India,1,10,4,0,7,14,7,5,9,0,10,-0.993,8,2,3,8,2,5,0,4,-1.803,8,1,3,,,
2021,Sunrisers Hyderabad,1,India,1,10,2,1,8,14,8,3,11,0,6,-0.545,7,1,5,7,2,5,0,4,-0.464,7,1,2,,,
